NO,등급 인정처,호텔업 구분,결정 등급,등급 결정일,지역,호텔명,객실수,주소,Latitude,Longitude,전화번호,홈페이지
233,한국관광공사,관광호텔업,2성,2020-05-11,경상남도,호텔 라온,34,경상남도 함양군 함양읍 함양로 1148-2,35.5211103,127.7282736,055-962-1234,http://raonhotel.modoo.at/
238,한국관광공사,소형호텔업,1성,2020-04-16,경상남도,오션 스파 호텔,27,경상남도 고성군 고성읍 신월로 60 ,34.9526495,128.3311759,055-673-7781,http://oceanspahotel.co.kr
259,한국관광공사,관광호텔업,2성,2020-02-28,경상남도,비즈 관광호텔,35,경상남도 창원시 진해구 진해대로 2116,35.1577569,128.6798881,055-547-0016,http://www.bizhotel.co.kr
260,한국관광공사,관광호텔업,3성,2020-02-28,경상남도,창원 호텔,173,경상남도 창원시 성산구 중앙대로39번길 14,35.2201952,128.6747235,055-283-5551,http://www.changwonhotel.co.kr
275,한국관광공사,관광호텔업,2성,2019-12-28,경상남도,진주 카이 호텔,43,경상남도 진주시 정촌면 화개천로 132-14,35.13048,128.105738,055-756-9200,http://jinjukai.co.kr
279,한국관광공사,관광호텔업,2성,2019-12-26,경상남도,밀양 관광호텔,32,경상남도 밀양시 가곡7길 5-1,35.4744586,128.7673201,055-356-3882,https://blog.naver.com/chs0903
283,한국관광공사,관광호텔업,2성,2019-12-26,경상남도,통영갤러리관광호텔,38,경상남도 통영시 도남로 257-27,34.8291945,128.4322787,055-645-3773 ,http://www.tyhotel.kr/
293,한국관광공사,관광호텔업,1성,2019-12-20,경상남도,올림픽관광호텔,86,경상남도 창원시 성산구 중앙대로 81,35.2225127,128.6779558,055-285-3331,http://www.olympichotel.co.kr
377,한국관광공사,관광호텔업,1성,2019-08-21,경상남도,베니키아 센트럴 호텔,37,경상남도 통영시 광도면 춘원2로 49-20,34.956432,128.4135083,055-643-7001 ,http://benikeacentralhotel.com
383,한국관광공사,관광호텔업,1성,2019-08-10,경상남도,래디언스 관광호텔,30,경상남도 거제시 옥포대첩로 425  (덕포동),34.9077393,128.7056587,055-688-3801,http://www.radiancehotel.co.kr
397,한국관광공사,관광호텔업,3성,2019-07-30,경상남도,크라운 호텔,60,경상남도 창원시 의창구 창원대로363번길 22-5  (팔용동),35.2378105,128.6400408,055-237-1001 ,http://www.cronhotel.kr
401,한국관광공사,관광호텔업,2성,2019-07-26,경상남도,아몬드 호텔,44,경상남도 창원시 진해구 진희로23번길 4  (제황산동),35.1438891,128.6720597,055-552-3888,
428,한국관광공사,관광호텔업,1성,2019-06-28,경상남도,호텔라움,35,경상남도 창원시 진해구 가주로 42  (가주동),35.1099885,128.8406569,055-543-6900,
489,한국관광공사,관광호텔업,3성,2019-04-18,경상남도,호텔 리베라 거제,138,경상남도 거제시 일운면 거제대로 2190  ,34.8111103,128.7038864,055-730-5000,http://www.hotelriviera.co.kr
511,한국관광공사,관광호텔업,2성,2019-03-27,경상남도,포르투나 호텔,64,경상남도 통영시 미수해안로 152  (봉평동),34.8329171,128.4140105,055-643-7000,http://www.bestfortuna.com/
521,한국관광공사,관광호텔업,3성,2019-03-14,경상남도,상상속의 집,30,경상남도 거제시 일운면 거제대로 2752  ,34.847531,128.7098409,055-682-5252 ,http://www.inspirationpoint.co.kr
541,한국관광공사,관광호텔업,2성,2019-02-21,경상남도,사천관광호텔,57,경상남도 사천시 사천읍 역사길 12  ,35.0810635,128.0856311,055-854-9000,http://www.sacheonhotel.com/
609,한국관광공사,관광호텔업,3성,2018-04-30,경상남도,애드미럴 호텔,129,경상남도 거제시 서간도길 16  (옥포동),34.8896499,128.6875531,055-687-3761,http://www.admiralhotel.co.kr
644,한국관광공사,관광호텔업,4성,2017-10-11,경상남도,호텔 인터내셔널,121,경상남도 창원시 성산구 중앙대로 69  (중앙동),35.2218428,128.6771736,055-281-1001,http://www.hotelinternational.co.kr/
10,한국관광협회중앙회,관광호텔업,3성,2021-12-27,경상북도,덕구온천리조트 호텔,98,경상북도 울진군 북면 덕구온천로 924  ,37.0787343,129.2842909,054-782-0677,http://www.dukgu.com
14,한국관광협회중앙회,관광호텔업,4성,2021-12-22,경상북도,더 케이 호텔 경주,304,경상북도 경주시 엑스포로 45 더케이호텔경주 (신평동),35.837472,129.291928,054-745-8100,http://www.thek-hotel.co.kr/gjmh/
16,한국관광협회중앙회,관광호텔업,2성,2021-12-22,경상북도,포항 코모도 호텔,46,경상북도 포항시 남구 송도로 71  (송도동),36.0345567,129.3783945,054-241-1400,
20,한국관광협회중앙회,관광호텔업,5성,2021-12-16,경상북도,라한셀렉트 경주 (구. 호텔현대 경주),430,경상북도 경주시 보문로 338  (신평동),35.8498939,129.2779244,054-748-2233,http://www.lahanhotels.com
39,한국관광협회중앙회,관광호텔업,2성,2021-11-19,경상북도,엘라포니시,52,경상북도 경주시 감포읍 동해안로 1594 ,35.748169,129.4874526,054-741-5000,http://elafonisi.co.kr/
45,한국관광협회중앙회,가족호텔업,2성,2021-11-12,경상북도,안동 리첼 호텔,90,경상북도 안동시 관광단지로 346-69  (성곡동),36.5679496,128.7821181,054-850-9700,http://richell-andong.co.kr/
55,한국관광협회중앙회,관광호텔업,1성,2021-10-28,경상북도,풍기 관광 호텔,47,경상북도 영주시 풍기읍 풍기로 53 풍기관광호텔 ,36.86977,128.5248,054-637-8800,
57,한국관광협회중앙회,관광호텔업,3성,2021-10-22,경상북도,스위트 호텔 경주,34,경상북도 경주시 보문로 280-12  (북군동),35.8537782,129.2773469,054-778-5300,http://www.suites.co.kr/gyeongju/ko/
76,한국관광협회중앙회,관광호텔업,2성,2021-07-28,경상북도,노블리온 호텔 ,42,경상북도 포항시 남구 희망대로659번길 20  (대잠동),36.0123168,129.3467658,054-272-0009,https://www.instagram.com/noblionhotel/
156,한국관광공사,관광호텔업,3성,2020-11-28,경상북도,베니키아 스위스로젠 호텔,60,경상북도 경주시 보문로 465-37  (신평동),35.8405938,129.2924967,054-748-4848,
176,한국관광공사,관광호텔업,1성,2020-11-17,경상북도,케이호텔,31,경상북도 경주시 천북면 천강로 295-60  ,35.9162231,129.279016,054-748-6000,
180,한국관광공사,관광호텔업,2성,2020-11-10,경상북도,호텔 뷰,42,경상북도 포항시 북구 해안로 91  (두호동),36.0637632,129.3891157,054-256-0055,https://pohangview.modoo.at/
211,한국관광공사,소형호텔업,1성,2020-07-10,경상북도,호텔 라우스데오,29,경상북도 포항시 북구 장량로127번길 6  (장성동),36.0831672,129.3949495,054-255-6000,
223,한국관광공사,관광호텔업,2성,2020-05-27,경상북도,울진 그랜드 호텔,40,경상북도 울진군 울진읍 현내항길 97,36.9917029,129.4098517,054-781-9901,http://www.uljingrandhotel.com
228,한국관광공사,관광호텔업,2성,2020-05-19,경상북도,센트로 관광호텔,54,경상북도 칠곡군 왜관읍 중앙로 152-3 ,35.9886152,128.3998491,054-972-2777,http://www.centrohotel.co.kr
264,한국관광공사,관광호텔업,3성,2020-02-17,경상북도,경주 지지 관광호텔,53,경상북도 경주시 태종로699번길 3,35.839042,129.2044284,054-701-0090,http://www.gghotel.co.kr/
351,한국관광공사,관광호텔업,2성,2019-10-22,경상북도,윈 호텔,53,경상북도 포항시 북구 해안로 89,36.0567048,129.3776375,054-242-3355,
375,한국관광공사,관광호텔업,2성,2019-08-24,경상북도,김천 파크 호텔,40,경상북도 김천시 대항면 황학동길 35-23  ,36.115654,128.0169866,054-437-8000,http://www.gimcheonpark.com/
376,한국관광공사,관광호텔업,1성,2019-08-23,경상북도,백송스파비스 관광호텔,30,경상북도 군위군 부계면 한티로 2244  ,36.030959,128.6259827,054-383-9486,http://bshotel.co.kr
418,한국관광공사,관광호텔업,2성,2019-07-05,경상북도,가야 호텔,59,경상북도 성주군 수륜면 가야산식물원길 52  ,35.802751,128.1425783,054-931-3500,http://www.gayahotel.kr/
441,한국관광공사,관광호텔업,5성,2019-06-14,경상북도,힐튼경주,330,경상북도 경주시 보문로 484-7  (신평동),35.8405031,129.2854942,054-745-7788 ,http://www.hiltongyeongju.co.kr
449,한국관광공사,관광호텔업,3성,2019-06-05,경상북도,라한호텔 포항,160,경상북도 포항시 북구 삼호로265번길 1  (두호동),36.0612788,129.3780036,054-230-7000,
460,한국관광공사,관광호텔업,3성,2019-05-24,경상북도,씨엠파크 호텔,62,경상북도 안동시 풍천면 검무로 10-17  ,36.5561655,128.5065237,054-853-7800,http://www.cmparkhotel.com
517,한국관광공사,관광호텔업,2성,2019-03-18,경상북도,베니키아 호텔 포항,80,경상북도 포항시 남구 중앙로 128  (해도동),36.0245346,129.368519,054-282-2700,https://www.benikea.com/hotelreservation/quickreservation.do
520,한국관광공사,관광호텔업,3성,2019-03-18,경상북도,안동그랜드호텔,82,경상북도 안동시 관광단지로 346-84  (성곡동),36.5668806,128.7803446,054-851-9000,http://www.andonggrandhotel.com
527,한국관광공사,관광호텔업,3성,2019-03-06,경상북도,구미 센츄리 호텔,131,경상북도 구미시 3공단1로 296,36.1085847,128.4026788,054-478-0100,http://www.gumicentury.co.kr
531,한국관광공사,관광호텔업,2성,2019-03-06,경상북도,호텔 파크 비지니스,45,경상북도 구미시 금오산로 217-16  (남통동),36.1212658,128.3252592,054-451-9000,http://www.hotelparkbusiness.com
567,한국관광공사,관광호텔업,2성,2018-12-04,경상북도,주왕산 온천 관광 호텔,47,경상북도 청송군 청송읍 중앙로 315  ,36.4360844,129.0627445,054-874-7000 ,http://juwangspahotel.co.kr
588,한국관광공사,관광호텔업,4성,2018-09-12,경상북도,호텔 금오산,130,경상북도 구미시 금오산로 400,36.1105826,128.3100535,054-450-4056,http://www.hotelgeumosan.com/
603,한국관광공사,소형호텔업,1성,2018-06-14,경상북도,울릉도 이사부 호텔,24,경상북도 울릉군 울릉읍 도동1길 21-1,37.4861552,130.9055854,054-791-8253,http://www.ulleunghotel.com
610,한국관광공사,관광호텔업,4성,2018-04-13,경상북도,경주 코오롱 호텔,317,경상북도 경주시 불국로 289-17  (마동),35.7875924,129.3217327,054-746-9001,http://www.kolonhotel.co.kr
34,한국관광협회중앙회,관광호텔업,4성,2021-11-26,광주광역시,홀리데이 인 광주 호텔,205,광주광역시 서구 상무누리로 55  (치평동),35.1473666,126.8381207,062-610-7000,http://higwangju.com/
93,한국관광협회중앙회,관광호텔업,3성,2021-07-07,광주광역시,씨에스 호텔,94,광주광역시 서구 상무평화로 128 (치평동),35.1492116,126.8525841,062-363-3300,http://cshotel.kr
207,한국관광공사,관광호텔업,3성,2020-07-20,광주광역시,ACC 디자인 호텔,76,광주광역시 동구 금남로 226-11,35.1486452,126.9165786,062-227-6400,http://www.acchotel.kr/
278,한국관광공사,관광호텔업,4성,2019-12-26,광주광역시,라마다 프라자 광주 호텔,123,광주광역시 서구 상무자유로 149  (치평동),35.1519812,126.8505532,062-717-7000,http://www.ramadagwangju.com
344,한국관광공사,관광호텔업,2성,2019-11-01,광주광역시,엠파이어관광호텔,43,광주광역시 광산구 임방울대로800번길 25,35.2160471,126.8462723,062-962-2000,http://www.empirehotel.co.kr
385,한국관광공사,관광호텔업,2성,2019-08-08,광주광역시,광주관광호텔,72,광주광역시 북구 서하로183번길 56  (오치동),35.1878012,126.9014703,062-261-7777,http://www.gwangjuhotel.co.kr
420,한국관광공사,관광호텔업,3성,2019-07-05,광주광역시,벤틀리 관광호텔 충장점,91,광주광역시 동구 서석로10번길 5  (불로동),35.1447564,126.9157489,062-236-5881,http://www.bentleyhotel.co.kr
459,한국관광공사,관광호텔업,2성,2019-05-27,광주광역시,호텔 프랑스,46,광주광역시 서구 시청로20번길 21-6  (치평동),35.1507687,126.8544334,062-382-6000,http://www.hotelfrance.co.kr
508,한국관광공사,관광호텔업,1성,2019-04-02,광주광역시,피렌체 관광호텔,59,광주광역시 서구 상무중앙로38번길 5-8  (치평동),35.1508528,126.8495199,062-380-0000,http://www.hotelfirenze.co.kr
512,한국관광공사,관광호텔업,1성,2019-03-26,광주광역시,호텔 센트럴,45,광주광역시 서구 상무연하로 68  (치평동),35.15429,126.8504977,062-383-7575,http://www.hotelcentral.co.kr
536,한국관광공사,관광호텔업,3성,2019-03-04,광주광역시,신양 파크 호텔,87,광주광역시 동구 지호로 214-7  (지산동),35.1534245,126.9437523,062-228-8000,http://shinyangparkhotel.com
660,한국관광공사,관광호텔업,1성,2017-04-17,광주광역시,마스터스 관광호텔,74,광주광역시 서구 상무연하로 46,35.15223,126.8505508,062-382-7700,http://www.mastershotel.com/
85,한국관광협회중앙회,관광호텔업,2성,2021-07-14,대구광역시,팔공산 온천 관광호텔,36,대구광역시 동구 팔공산로185길 11 (용수동),35.9882326,128.6929635,053-985-8080,http://www.palgongspa.co.kr
104,한국관광협회중앙회,관광호텔업,3성,2021-06-17,대구광역시,제이비관광호텔,47,대구광역시 동구 율암로 162  (상매동),35.8881978,128.7059117,053-964-2000,
105,한국관광협회중앙회,관광호텔업,3성,2021-06-17,대구광역시,퀸벨 호텔,62,대구광역시 동구 동촌로 200  (방촌동),35.8825026,128.6625412,053-282-1000,http://www.queenvell.com
144,한국관광협회중앙회,관광호텔업,1성,2021-04-23,대구광역시,칸호텔,44,대구광역시 달성군 구지면 달성2차동1로 141 ,35.6381506,128.4229906,053-263-0777,
152,한국관광공사,관광호텔업,2성,2020-12-03,대구광역시,호텔G,44,대구광역시 달성군 구지면 달성2차동1로 145  ,35.6381506,128.4229906,053-263-5511,http://blog.never.com/gg1124kr
154,한국관광공사,관광호텔업,2성,2020-12-01,대구광역시,인스타 부티크 호텔,52,대구광역시 동구 율암로 164 (상매동),35.8832975,128.7041013,053-213-8080,http://instarhotel/co/kr
159,한국관광공사,관광호텔업,2성,2020-11-25,대구광역시,리버틴호텔,53,대구광역시 중구 경상감영길 193  (동문동),35.8716857,128.5966951,053-269-4000,http://www.rivertain.com
201,한국관광공사,관광호텔업,2성,2020-08-12,대구광역시,노블스테이,51,대구광역시 중구 국채보상로123길 23  (동문동),35.8716911,128.5972792,053-421-5007,
219,한국관광공사,관광호텔업,2성,2020-06-12,대구광역시,앙코르 호텔,72,대구광역시 동구 이노밸리로 7  (상매동),35.9228226,128.7218104,053-241-2233,http://www.encorehotel.org
265,한국관광공사,관광호텔업,2성,2020-02-13,대구광역시,토요코인 대구동성로,215,대구광역시 중구 동성로1길 15  (동성로3가),35.868573,128.5933746,053-428-1045,https://www.toyoko-inn.com
270,한국관광공사,관광호텔업,3성,2019-12-30,대구광역시,에이더블유 호텔,54,대구광역시 달서구 성서로 413,35.8544494,128.5067228,053-589-6700,http://www.awhotel.co.kr
276,한국관광공사,관광호텔업,2성,2019-12-27,대구광역시,아마레 호텔,45,대구광역시 동구 율암로 156-15  (상매동),35.8832975,128.7041013,053-953-2580,
306,한국관광공사,관광호텔업,4성,2019-12-18,대구광역시,엘디스 리젠트 호텔,110,대구광역시 중구 달구벌대로 2033  (동산동),35.866455,128.5863062,053-253-7711,http://www.eldishotel.com/html/main.asp
326,한국관광공사,관광호텔업,2성,2019-11-26,대구광역시,유니온 관광호텔,64,대구광역시 중구 태평로 117,35.8761594,128.5907988,053-252-2221,
340,한국관광공사,관광호텔업,4성,2019-11-05,대구광역시,호텔 라온제나,93,대구광역시 수성구 범어천로 73,35.8534696,128.6231157,053-718-7000,http://www.hotellaonzena.com/
361,한국관광공사,관광호텔업,2성,2019-10-02,대구광역시,호텔 엘리시아,61,대구광역시 달서구 갈밭남로 45  (대곡동),35.8011005,128.5335823,053-625-9100,
504,한국관광공사,관광호텔업,5성,2019-04-02,대구광역시,호텔 인터불고 대구,322,대구광역시 수성구 팔현길 212  (만촌동),35.8728166,128.660676,053-602-7114,http://www.hotel-interburgo-daegu.com/
584,한국관광공사,관광호텔업,4성,2018-10-10,대구광역시,대구 그랜드 호텔,150,대구광역시 수성구 동대구로 305  (범어동),35.8577321,128.6251586,053-251-8001,http://daegugrand.co.kr
624,한국관광공사,관광호텔업,4성,2018-01-04,대구광역시,노보텔 앰배서더 대구,204,대구광역시 중구 국채보상로 611  (문화동),35.8709358,128.597695,053-664-1101,https://www.ambatel.com/novotel/daegu/ko/main.do
640,한국관광공사,관광호텔업,3성,2017-11-20,대구광역시,팔공 에밀리아 호텔,40,대구광역시 동구 팔공산로 1121  (용수동),35.9892943,128.6920949,053-623-1000,http://www.emillia.co.kr
40,한국관광협회중앙회,관광호텔업,3성,2021-11-18,대전광역시,레전드 호텔,74,대전광역시 유성구 계룡로141번길 21  (봉명동),36.3535046,127.3459182,042-229-8000,http://www.legendhotel.co.kr/kor/index.do
109,한국관광협회중앙회,관광호텔업,4성,2021-06-08,대전광역시,롯데시티호텔 대전,306,대전광역시 유성구 엑스포로123번길 33  (도룡동),36.3769613,127.3926565,042-333-1000,https://www.lottehotel.com/daejeon-city/ko.html
155,한국관광공사,관광호텔업,3성,2020-12-01,대전광역시,유성호텔,189,대전광역시 유성구 온천로 9  (봉명동),36.3561902,127.3388662,042-820-0100,http://www.yousunghotel.com
220,한국관광공사,관광호텔업,3성,2020-06-10,대전광역시,계룡스파텔,143,대전광역시 유성구 온천로 81,36.3557439,127.3471908,042-602-1111,http://www.jaekyungdan.mil.kr/sub/bokjiinfo/sisulinfo/spatel/default/default.jsp
251,한국관광공사,관광호텔업,3성,2020-03-19,대전광역시,호텔 ICC,90,대전광역시 유성구 엑스포로123번길 55,36.3769613,127.3926565,042-866-5000,http://www.hotelicc.com/
456,한국관광공사,관광호텔업,3성,2019-05-30,대전광역시,라온 컨벤션,54,대전광역시 유성구 온천로 88  (봉명동),36.3539357,127.3474544,042-822-0131,http://www.laonhotel.com
458,한국관광공사,관광호텔업,3성,2019-05-28,대전광역시,나봄 호텔 (구. 에스앤 호텔),75,대전광역시 유성구 테크노중앙로 69  (관평동),36.4229469,127.3916609,042-936-1500,http://www.sandhotel.co.kr/
470,한국관광공사,관광호텔업,2성,2019-05-10,대전광역시,베니키아 호텔 대림,44,대전광역시 중구 대종로505번길 50  (선화동),36.3284919,127.4224499,042-251-9500 ,http://www.daelimhotel.com
602,한국관광공사,관광호텔업,2성,2018-06-19,대전광역시,디엠프레스호텔,66,대전광역시 서구 한밭대로570번길 29-20  (월평동),36.3569057,127.3632436,042-485-3030,http://www.theempresshotel.co.kr
648,한국관광공사,관광호텔업,4성,2017-08-21,대전광역시,호텔 인터시티,204,대전광역시 유성구 온천로 92,36.3542127,127.347842,042-600-6000,
3,한국관광협회중앙회,관광호텔업,2성,2021-12-27,부산광역시,샤이어호텔 서면,71,부산광역시 부산진구 부전로 18-5  (부전동),35.1522225,129.0571234,051-806-7172,http://www.shiretel.com
5,한국관광협회중앙회,관광호텔업,3성,2021-12-27,부산광역시,호텔 아쿠아펠리스,111,부산광역시 수영구 광안해변로 225  (광안동),35.1540323,129.1187815,051-790-2300,http://www.aquapalace.co.kr/
8,한국관광협회중앙회,관광호텔업,2성,2021-12-27,부산광역시,	투헤븐 호텔,31,부산광역시 수영구 남천바다로33번길 25 투헤븐호텔 (광안동),35.1495091,129.1145854,051-757-7661,
12,한국관광협회중앙회,관광호텔업,5성,2021-12-27,부산광역시,힐튼 부산,310,부산광역시 기장군 기장읍 기장해안로 268-32  ,35.1976638,129.2280861,051-509-1111,http://www.hiltonbusan.co.kr
13,한국관광협회중앙회,관광호텔업,2성,2021-12-23,부산광역시,TRT HOTEL,49,부산광역시 부산진구 부전로 33-1  (부전동),35.1532541,129.0560415,051-819-8231,http://trthotel.com/
17,한국관광협회중앙회,소형호텔업,1성,2021-12-20,부산광역시,호텔브라운도트 광안비치점,29,부산광역시 수영구 남천바다로33번길 31  (광안동),35.1498209,129.1147872,051-753-3288,
21,한국관광협회중앙회,관광호텔업,5성,2021-12-15,부산광역시,롯데호텔 부산,650,부산광역시 부산진구 가야대로 772  (부전동),35.1568526,129.0566466,051-810-5600,http://www.lottehotel.com/busan-hotel/ko.html
22,한국관광협회중앙회,관광호텔업,2성,2021-12-15,부산광역시,소르젠떼 비지니스 호텔,46,부산광역시 사상구 광장로81번길 55  (괘법동),35.1648575,128.9840116,051-715-2340,http://www.sorgente-hotel.com
32,한국관광협회중앙회,관광호텔업,2성,2021-11-30,부산광역시,명지 오이아 호텔,51,부산광역시 강서구 명지국제6로1번길 24 (도하마린타워) (명지동),35.0998348,128.928286,051-207-1201,https://bsoiahotel.modoo.at/
49,한국관광협회중앙회,관광호텔업,1성,2021-11-03,부산광역시,에이치에비뉴 호텔 광안리,29,"부산광역시 수영구 민락수변로 29 11층, 12층 (민락동)",35.1531826,129.1246887,051-753-1340,http://havenue.gamsunglab.com/branch2
51,한국관광협회중앙회,관광호텔업,3성,2021-11-03,부산광역시,호메르스 호텔,143,부산광역시 수영구 광안해변로 217 (광안동),35.1534266,129.1179962,051-750-8000,http://www.homershotel.com
54,한국관광협회중앙회,관광호텔업,2성,2021-10-28,부산광역시,	선트리 관광호텔,32,부산광역시 해운대구 달맞이길 209 1층 (중동),35.1604754,129.1765493,051-742-0021,http://www.suntreehotel.com
59,한국관광협회중앙회,관광호텔업,2성,2021-10-15,부산광역시,라메르 호텔,49,부산광역시 동구 조방로34번길 9  (범일동),35.1405016,129.0623006,051-634-3001,http://lamerhotel.co.kr
62,한국관광협회중앙회,관광호텔업,2성,2021-10-15,부산광역시,호텔 런더너 광안점,45,부산광역시 수영구 민락본동로 12-4  (민락동),35.1576584,129.1287048,051-755-0055,
64,한국관광협회중앙회,관광호텔업,2성,2021-09-15,부산광역시,베스트 루이스 해밀턴 호텔 서부산점,50,부산광역시 강서구 범방3로29번길 6  (범방동),35.1548,128.8867167,051-660-6900,http://www.bestlouishamilton.com
71,한국관광협회중앙회,관광호텔업,2성,2021-08-26,부산광역시,호텔 라온,67,부산광역시 해운대구 송정광어골로 39 호텔라온 (송정동),35.1776606,129.1972707,051-714-0003,http://www.busan-laon.com
81,한국관광협회중앙회,관광호텔업,4성,2021-07-23,부산광역시,아바니 센트럴 부산,281,부산광역시 남구 전포대로 133  (문현동),35.1422239,129.0672816,051-791-5800,http://www.avanihotels.com/ko/central-busan
102,한국관광협회중앙회,관광호텔업,2성,2021-06-17,부산광역시,라이온호텔 ,73,부산광역시 부산진구 중앙대로691번가길 14-7  (부전동),35.1551881,129.0561872,051-808-3593,http://www.lionhotelbusan.com
106,한국관광협회중앙회,관광호텔업,2성,2021-06-17,부산광역시,하운드호텔 기장일광점,55,부산광역시 기장군 일광면 해송3로 2  ,35.2658366,129.2319072,051-723-3322,https://houndig.modoo.at/
111,한국관광협회중앙회,관광호텔업,4성,2021-06-08,부산광역시,신라스테이 해운대,407,부산광역시 해운대구 해운대로570번길 46 (우동),35.1596667,129.1588889,051-912-9000,https://www.shillastay.com/haeundae/index.do?lang=ko
116,한국관광협회중앙회,관광호텔업,3성,2021-06-08,부산광역시,호텔 센트럴베이,134,부산광역시 수영구 광안해변로 189  (광안동),35.1514808,129.1164967,051-982-9700,http://www.centralbay.co.kr
122,한국관광협회중앙회,관광호텔업,2성,2021-05-25,부산광역시,씨엘오션호텔,51,부산광역시 강서구 명지국제6로34번길 22  (명지동),35.0998348,128.928286,051-271-8686,https://cohotel.modoo.at/
130,한국관광협회중앙회,관광호텔업,5성,2021-05-11,부산광역시,그랜드 조선 부산,330,부산광역시 해운대구 해운대해변로 292  (중동),35.1600161,129.1630504,051-922-5000,https://gjb.josunhotel.com/main.do
136,한국관광협회중앙회,관광호텔업,3성,2021-04-30,부산광역시,페어필드 바이 메리어트 부산 송도비치호텔,179,부산광역시 서구 송도해변로 113  (암남동),35.0777186,129.0193398,051-260-0000,http://www.marriott.com/pusfb
138,한국관광협회중앙회,관광호텔업,2성,2021-04-24,부산광역시,유토피아 호텔,43,부산광역시 수영구 무학로9번길 133  (광안동),35.1674184,129.117057,051-757-1100,
163,한국관광공사,관광호텔업,5성,2020-11-23,부산광역시,시그니엘 부산,260,"부산광역시 해운대구 달맞이길 30  (중동, 엘시티)",35.1599375,129.1698125,051-922-1000,https://www.lottehotel.com/busan-signiel
164,한국관광공사,소형호텔업,2성,2020-11-20,부산광역시,미포 오션사이드 호텔,28,부산광역시 해운대구 달맞이길62번길 28  (중동),35.1588219,129.170621,051-601-4300,http://www.mipohotel.com
170,한국관광공사,관광호텔업,2성,2020-11-19,부산광역시,하운드호텔,49,부산광역시 수영구 남천바다로33번길 12 (광안동),35.148902,129.1145355,051-755-0072,https://gwanganhound.modoo.at/
184,한국관광공사,관광호텔업,2성,2020-10-22,부산광역시,JB 디자인 호텔,80,부산광역시 해운대구 구남로12번길 31,35.1614214,129.1604153,051-750-9000,http://www.jbdesignhotel.com
192,한국관광공사,관광호텔업,2성,2020-09-18,부산광역시,베스트 인 시티 호텔,72,부산광역시 동구 고관로 7  (초량동),35.1203214,129.0405644,051-464-8883,http://bestincityhotel.co.kr/
198,한국관광공사,관광호텔업,1성,2020-08-27,부산광역시,라스베가스 호텔,48,부산광역시 사하구 낙동남로1405번길 14,35.1072363,128.965666,051-203-8442,
225,한국관광공사,관광호텔업,2성,2020-05-22,부산광역시,지앤지 호텔,41,부산광역시 남구 유엔평화로4번길 34,35.1345992,129.0900209,051-626-7723,
234,한국관광공사,관광호텔업,4성,2020-04-21,부산광역시,코모도 호텔,311,부산광역시 중구 중구로 151  (영주동),35.1121673,129.0303368,051-461-9101,https://www.commodore.co.kr/html/intro/
253,한국관광공사,관광호텔업,1성,2020-03-17,부산광역시,브라운도트 호텔 정관점,41,부산광역시 기장군 정관읍 산단1로 98-31  ,35.3161999,129.1813742,051-728-8100,
272,한국관광공사,관광호텔업,3성,2019-12-30,부산광역시,타워힐 호텔,116,부산광역시 중구 백산길 20,35.1012166,129.0343176,051-250-6100,http://www.towerhill.co.kr
274,한국관광공사,관광호텔업,5성,2019-12-29,부산광역시,파라다이스 호텔 부산,532,부산광역시 해운대구 해운대해변로 296  (중동),35.1601338,129.1646875,051-742-2121,http://www.busanparadisehotel.co.kr
294,한국관광공사,관광호텔업,2성,2019-12-20,부산광역시,에이치에비뉴 호텔 광안리 해변점,33,부산광역시 수영구 광안해변로278번길 42 B동 8~10층 (민락동),35.1539709,129.1245349,051-751-5858,http://h-avenue.com
310,한국관광공사,관광호텔업,2성,2019-12-12,부산광역시,에어스카이 호텔,61,부산광역시 강서구 유통단지1로57번길 2  (대저2동),35.1695936,128.9537005,051-971-0093,http://www.airskyhotel.co.kr
313,한국관광공사,관광호텔업,5성,2019-12-06,부산광역시,호텔 농심,240,부산광역시 동래구 금강공원로20번길 23,35.219814,129.0820719,051-550-2100,https://www.hotelnongshim.com
325,한국관광공사,관광호텔업,2성,2019-11-26,부산광역시,시애틀비 호텔,55,부산광역시 연제구 거제천로154번길 42  (연산동),35.1862939,129.0789011,051-852-7685 ,http://www.seattlebhotel.com
353,한국관광공사,관광호텔업,2성,2019-10-14,부산광역시,토요코인 부산해운대2호점,510,부산광역시 해운대구 해운대해변로237번길 5  (우동),35.160454,129.1555337,051-741-1045,https:/www.toyoko-inn.com
356,한국관광공사,관광호텔업,2성,2019-10-11,부산광역시,더포인트호텔 광안리점,45,부산광역시 수영구 광안해변로278번길 42 오션브릿지 A동 7~10층 (민락동),35.1539709,129.1245349,051-929-8600,
357,한국관광공사,관광호텔업,5성,2019-10-08,부산광역시,웨스틴 조선호텔 부산,290,부산광역시 해운대구 동백로 67  (우동),35.1559601,129.1539819,051-749-7000 ,https://twcb.echosunhotel.com/main.do
359,한국관광공사,관광호텔업,2성,2019-10-04,부산광역시,부산 비치 관광호텔,35,부산광역시 서구 등대로 113  (남부민동),35.0849717,129.0262432,051-231-0750,http://beach.nayooint.co.kr
378,한국관광공사,소형호텔업,2성,2019-08-21,부산광역시,오션투헤븐 호텔,26,부산광역시 수영구 광안해변로278번길 42 A동 5~6층 (민락동),35.1539709,129.1245349,051-761-3001,http://ocean2heaven.co.kr
